"endTime","artistName","trackName","msPlayed"
"2024-01-19 20:40","Moha K","Besoin de toi",18624
"2024-01-20 14:04","DYSTINCT","La",148328
"2024-01-20 14:06","Oualid","Nabghiha",140666
"2024-01-20 14:09","Makar","Je M'en Fous",177361
"2024-01-20 14:11","Masri","El 7ob Sa3b",142800
"2024-01-20 14:15","DYSTINCT","Layali",195937
"2024-01-20 14:17","Don Xhoni","Lej",148000
"2024-01-20 14:20","Moha K","DARBA 9ADIYA",149209
"2024-01-20 14:22","Oualid","Di Mochkila",145783
"2024-01-20 14:25","Jungeli","Rashel",176160
"2024-01-20 14:29","Sherine","كلام عينيه",235833
"2024-01-20 14:31","DYSTINCT","Gana (feat. Hatim Ammor)",132123
"2024-01-20 14:34","Makar","Alone",163069
"2024-01-20 14:37","Scridge","Samira",208163
"2024-01-20 14:40","Soolking","Y Dor",145620
"2024-01-20 14:42","Franglish","Ça c'est bien",159299
"2024-01-20 14:46","DYSTINCT","Niye (feat. Ali471)",204905
"2024-01-20 14:49","Masri","Enty M3aya",165142
"2024-01-20 14:52","Moha K","Allo",195375
"2024-01-20 16:36","Oualid","Ya Nari",109456
"2024-01-20 16:39","Inez","Ana Lik",152118
"2024-01-20 16:41","DYSTINCT","Ya La Laa",156109
"2024-01-20 16:44","Retrib","i know what you want x arabic ريمكس - شيرين - صبرى قليل (tiktok song)",191344
"2024-01-20 16:47","DJ Sem","Oh Bébé feat. DYSTINCT",172440
"2024-01-20 16:50","Moha K","Besoin de toi",162426
"2024-01-20 16:53","Oualid","Fat L'Fout",146111
"2024-01-20 16:55","DYSTINCT","Tek Tek (feat. MHD)",161506
"2024-01-20 16:56","Amr Diab","ليلى نهارى",22571
"2024-01-20 16:56","Abdulaziz Alrashed","الله يعلم",17920
"2024-01-20 16:59","Soolking","Casanova",189090
"2024-01-20 17:02","DYSTINCT","Boussa",21872
"2024-01-20 17:02","Moha K","Rapapap",165146
"2024-01-20 17:05","DYSTINCT","Boussa",2353
"2024-01-20 17:05","Moha K","Rapapap",165146
"2024-01-20 17:07","Oualid","Jini",122972
"2024-01-20 19:38","Lartiste","00:00",111194
"2024-01-20 19:40","C.Gambino","Regler (Båset)",156408
"2024-01-20 19:42","C.Gambino","Val d'Isère",127000
"2024-01-20 19:45","Sticky","Love & Guns",168888
"2024-01-20 19:48","Robbz x Brookz","Block Baby",148800
"2024-01-20 19:50","Nineb Youk","Ghetto prinsessa",131283
"2024-01-20 19:52","Owen","DJUPA SÅR",141600
"2024-01-20 19:54","23","Dreams",128888
"2024-01-20 19:57","C.Gambino","EXTEND",149243
"2024-01-20 19:59","Sticky","LOGGA UT",125753
"2024-01-20 20:01","Shiro","MANDANA",123149
"2024-01-20 20:03","Nineb Youk","Wine Slow",127500
"2024-01-20 20:06","Owen","Nia Mondo",137647
"2024-01-20 20:08","Lee Bloccboy","4 grabbar",144578
"2024-01-20 20:11","C.Gambino","No Go",161868
"2024-01-20 20:13","Robin Kadir","Baccarat Rouge",120621
"2024-01-20 20:15","23","Man",126315
"2024-01-20 20:17","Dizzy","Överallt",125092
"2024-01-20 20:20","Nineb Youk","DIABLO",184000
"2024-01-20 20:21","C.Gambino","AMSTERDAM",87692
"2024-01-20 20:24","Shiro","Mendez",129040
"2024-01-20 21:46","Lartiste","00:00",8661
"2024-01-20 21:56","Lacrim","A.W.A",2136
"2024-01-20 21:56","Lacrim","CODE BARRE",491009
"2024-01-20 22:00","Lacrim","CODE BARRE",241480
"2024-01-20 22:03","Lacrim","A.W.A",162733
"2024-01-20 22:03","Lacrim","JOHN GOTTI (feat. Baby Gang)",5395
"2024-01-20 22:12","Lacrim","A.W.A",149861
"2024-01-20 23:31","Lacrim","A.W.A",1834
"2024-01-20 23:33","Lacrim","CODE BARRE",93947
"2024-01-20 23:35","Oualid","Nabghiha",10692
"2024-01-20 23:35","DYSTINCT","La",148328
"2024-01-20 23:38","DYSTINCT","Tek Tek (feat. MHD)",161506
"2024-01-20 23:40","DYSTINCT","La",148328
"2024-01-20 23:43","Masri","El 7ob Sa3b",142800
"2024-01-20 23:45","Oualid","Di Mochkila",145783
"2024-01-20 23:48","Jungeli","Rashel",176160
"2024-01-20 23:51","JEY BROWNIE","GTB",176786
"2024-01-20 23:52","DYSTINCT","Ya La Laa",19225
"2024-01-20 23:53","OG LOCKE","THE GIRL IS MINE",97746
"2024-01-20 23:56","BOJAN","FÜR SIE",150235
"2024-01-20 23:59","O.G.","Mitten in der Nacht",170024
"2024-01-21 13:56","CALO","Come closer",1099
"2024-01-21 14:17","Robin Kadir","Déjà vu - Intro",7550
"2024-01-21 14:23","Talk Down","Red Wine",360426
"2024-01-21 14:27","Lartiste","00:00",238939
"2024-01-21 14:30","Moha K","Rapapap",165146
"2024-01-21 14:34","Lacrim","Act 6",78339
"2024-01-21 14:37","Lacrim","Act 6",200894
"2024-01-21 14:40","Owen","Lean & $prite",154015
"2024-01-21 14:43","Retrib","i know what you want x arabic ريمكس - شيرين - صبرى قليل (tiktok song)",191344
"2024-01-21 14:45","Oualid","Di Mochkila",145783
"2024-01-21 15:14","Oualid","Di Mochkila",5248
"2024-01-21 15:14","Inez","Ana Lik",105323
"2024-01-21 15:22","Talk Down","Red Wine",210965
"2024-01-21 15:22","Lartiste","00:00",3148
"2024-01-21 15:25","Talk Down","Red Wine",185280
"2024-01-21 15:25","Lartiste","00:00",21857
"2024-01-21 15:31","Talk Down","Red Wine",185280
"2024-01-21 15:34","Talk Down","Red Wine",185280
"2024-01-21 15:37","Talk Down","Red Wine",185280
"2024-01-21 15:40","Talk Down","Red Wine",185280
